time	I(R20)+I(R21)
1.031076178226677e-04	8.838249e-01
1.032076178226677e-04	8.830207e-01
1.033076178226677e-04	8.822886e-01
1.034076178226677e-04	8.816325e-01
1.035076178226677e-04	8.810496e-01
1.036076178226677e-04	8.805432e-01
1.037076178226677e-04	8.801103e-01
1.038076178226677e-04	8.797539e-01
1.039076178226677e-04	8.794706e-01
1.040076178226677e-04	8.792630e-01
1.041076178226678e-04	8.791274e-01
1.042076178226678e-04	8.790661e-01
1.043076178226678e-04	8.790753e-01
1.044076178226678e-04	8.791569e-01
1.045076178226678e-04	8.793068e-01
1.046076178226678e-04	8.795268e-01
1.047076178226678e-04	8.798124e-01
1.048076178226678e-04	8.801653e-01
1.049076178226678e-04	8.805810e-01
1.050076178226678e-04	8.810608e-01
1.051076178226678e-04	8.816000e-01
1.052076178226678e-04	8.822000e-01
1.053076178226678e-04	8.828558e-01
1.054076178226678e-04	8.835688e-01
1.055076178226678e-04	8.843339e-01
1.056076178226678e-04	8.851522e-01
1.057076178226678e-04	8.860188e-01
1.058076178226678e-04	8.869346e-01
1.059076178226678e-04	8.878947e-01
1.060076178226678e-04	8.888999e-01
1.061076178226678e-04	8.899453e-01
1.062076178226678e-04	8.910316e-01
1.063076178226678e-04	8.921538e-01
1.064076178226678e-04	8.933128e-01
1.065076178226678e-04	8.945034e-01
1.066076178226678e-04	8.957265e-01
1.067076178226678e-04	8.969769e-01
1.068076178226678e-04	8.982556e-01
1.069076178226678e-04	8.995572e-01
1.070076178226678e-04	9.008828e-01
1.071076178226678e-04	9.022269e-01
1.072076178226678e-04	9.035906e-01
1.073076178226678e-04	9.049686e-01
1.074076178226678e-04	9.063618e-01
1.075076178226678e-04	9.077649e-01
1.076076178226678e-04	9.091787e-01
1.077076178226678e-04	9.105982e-01
1.078076178226678e-04	9.120240e-01
1.079076178226678e-04	9.134510e-01
1.080076178226678e-04	9.148799e-01
1.081076178226678e-04	9.163057e-01
1.082076178226679e-04	9.177291e-01
1.083076178226679e-04	9.191449e-01
1.084076178226679e-04	9.205540e-01
1.085076178226679e-04	9.219510e-01
1.086076178226679e-04	9.233369e-01
1.087076178226679e-04	9.247066e-01
1.088076178226679e-04	9.260607e-01
1.089076178226679e-04	9.273943e-01
1.090076178226679e-04	9.287081e-01
1.091076178226679e-04	9.299971e-01
1.092076178226679e-04	9.312621e-01
1.093076178226679e-04	9.324982e-01
1.094076178226679e-04	9.337061e-01
1.095076178226679e-04	9.348809e-01
1.096076178226679e-04	9.360237e-01
1.097076178226679e-04	9.371296e-01
1.098076178226679e-04	9.381994e-01
1.099076178226679e-04	9.392286e-01
1.100076178226679e-04	9.402181e-01
1.101076178226679e-04	9.411634e-01
1.102076178226679e-04	9.420656e-01
1.103076178226679e-04	9.429202e-01
1.104076178226679e-04	9.437287e-01
1.105076178226679e-04	9.444865e-01
1.106076178226679e-04	9.451952e-01
1.107076178226679e-04	9.458505e-01
1.108076178226679e-04	9.464543e-01
1.109076178226679e-04	9.470023e-01
1.110076178226679e-04	9.474965e-01
1.111076178226679e-04	9.479331e-01
1.112076178226679e-04	9.483140e-01
1.113076178226679e-04	9.486357e-01
1.114076178226679e-04	9.489006e-01
1.115076178226679e-04	9.491051e-01
1.116076178226679e-04	9.492519e-01
1.117076178226679e-04	9.493378e-01
1.118076178226679e-04	9.493654e-01
1.119076178226679e-04	9.493320e-01
1.120076178226679e-04	9.492406e-01
1.121076178226679e-04	9.490884e-01
1.122076178226679e-04	9.488787e-01
1.123076178226680e-04	9.486092e-01
1.124076178226680e-04	9.482834e-01
1.125076178226680e-04	9.478990e-01
1.126076178226680e-04	9.474599e-01
1.127076178226680e-04	9.469642e-01
1.128076178226680e-04	9.464157e-01
1.129076178226680e-04	9.458129e-01
1.130076178226680e-04	9.451599e-01
1.131076178226680e-04	9.444554e-01
1.132076178226680e-04	9.437036e-01
1.133076178226680e-04	9.429034e-01
1.134076178226680e-04	9.420594e-01
1.135076178226680e-04	9.411705e-01
1.136076178226680e-04	9.402415e-01
1.137076178226680e-04	9.392716e-01
1.138076178226680e-04	9.382656e-01
1.139076178226680e-04	9.372230e-01
1.140076178226680e-04	9.361487e-01
1.141076178226680e-04	9.350422e-01
1.142076178226680e-04	9.339087e-01
1.143076178226680e-04	9.327477e-01
1.144076178226680e-04	9.315645e-01
1.145076178226680e-04	9.303587e-01
1.146076178226680e-04	9.291358e-01
1.147076178226680e-04	9.278954e-01
1.148076178226680e-04	9.266430e-01
1.149076178226680e-04	9.253783e-01
1.150076178226680e-04	9.241068e-01
1.151076178226680e-04	9.228282e-01
1.152076178226680e-04	9.215480e-01
1.153076178226680e-04	9.202660e-01
1.154076178226680e-04	9.189877e-01
1.155076178226680e-04	9.177128e-01
1.156076178226680e-04	9.164466e-01
1.157076178226680e-04	9.151891e-01
1.158076178226680e-04	9.139453e-01
1.159076178226680e-04	9.127152e-01
1.160076178226680e-04	9.115037e-01
1.161076178226680e-04	9.103107e-01
1.162076178226680e-04	9.091411e-01
1.163076178226680e-04	9.079944e-01
1.164076178226681e-04	9.068756e-01
1.165076178226681e-04	9.057841e-01
1.166076178226681e-04	9.047247e-01
1.167076178226681e-04	9.036965e-01
1.168076178226681e-04	9.027042e-01
1.169076178226681e-04	9.017468e-01
1.170076178226681e-04	9.008287e-01
1.171076178226681e-04	8.999488e-01
1.172076178226681e-04	8.991113e-01
1.173076178226681e-04	8.983148e-01
1.174076178226681e-04	8.975633e-01
1.175076178226681e-04	8.968553e-01
1.176076178226681e-04	8.961945e-01
1.177076178226681e-04	8.955791e-01
1.178076178226681e-04	8.950126e-01
1.179076178226681e-04	8.944930e-01
1.180076178226681e-04	8.940236e-01
1.181076178226681e-04	8.936022e-01
1.182076178226681e-04	8.932318e-01
1.183076178226681e-04	8.929100e-01
1.184076178226681e-04	8.926396e-01
1.185076178226681e-04	8.924179e-01
1.186076178226681e-04	8.922476e-01
1.187076178226681e-04	8.921258e-01
1.188076178226681e-04	8.920548e-01
1.189076178226681e-04	8.920318e-01
1.190076178226681e-04	8.920588e-01
1.191076178226681e-04	8.921326e-01
1.192076178226681e-04	8.922553e-01
1.193076178226681e-04	8.924235e-01
1.194076178226681e-04	8.926391e-01
1.195076178226681e-04	8.928986e-01
1.196076178226681e-04	8.932036e-01
1.197076178226681e-04	8.935507e-01
1.198076178226681e-04	8.939413e-01
1.199076178226681e-04	8.943716e-01
1.200076178226681e-04	8.948432e-01
1.201076178226681e-04	8.953522e-01
1.202076178226681e-04	8.959000e-01
1.203076178226681e-04	8.964827e-01
1.204076178226681e-04	8.971016e-01
1.205076178226682e-04	8.977526e-01
1.206076178226682e-04	8.984368e-01
1.207076178226682e-04	8.991505e-01
1.208076178226682e-04	8.998945e-01
1.209076178226682e-04	9.006650e-01
1.210076178226682e-04	9.014627e-01
1.211076178226682e-04	9.022838e-01
1.212076178226682e-04	9.031292e-01
1.213076178226682e-04	9.039947e-01
1.214076178226682e-04	9.048813e-01
1.215076178226682e-04	9.057849e-01
1.216076178226682e-04	9.067063e-01
1.217076178226682e-04	9.076414e-01
1.218076178226682e-04	9.085911e-01
1.219076178226682e-04	9.095512e-01
