time	V(vcc)	V(vo)
2.451352105514475e-05	9.560185e+00	4.925982e+00
2.461352105514475e-05	9.548091e+00	4.925214e+00
2.471352105514475e-05	9.535806e+00	4.924607e+00
2.481352105514475e-05	9.523380e+00	4.924170e+00
2.491352105514475e-05	9.510862e+00	4.923910e+00
2.501352105514475e-05	9.498301e+00	4.923833e+00
2.511352105514475e-05	9.485746e+00	4.923945e+00
2.521352105514474e-05	9.473248e+00	4.924252e+00
2.531352105514474e-05	9.460856e+00	4.924755e+00
2.541352105514474e-05	9.448618e+00	4.925457e+00
2.551352105514474e-05	9.436583e+00	4.926358e+00
2.561352105514474e-05	9.424798e+00	4.927452e+00
2.571352105514474e-05	9.413310e+00	4.928733e+00
2.581352105514474e-05	9.402164e+00	4.930191e+00
2.591352105514474e-05	9.391404e+00	4.931807e+00
2.601352105514474e-05	9.381073e+00	4.933562e+00
2.611352105514474e-05	9.371211e+00	4.935429e+00
2.621352105514473e-05	9.361857e+00	4.937378e+00
2.631352105514473e-05	9.353048e+00	4.939373e+00
2.641352105514473e-05	9.344820e+00	4.941381e+00
2.651352105514473e-05	9.337204e+00	4.943369e+00
2.661352105514473e-05	9.330230e+00	4.945312e+00
2.671352105514473e-05	9.323926e+00	4.947194e+00
2.681352105514473e-05	9.318317e+00	4.949016e+00
2.691352105514473e-05	9.313426e+00	4.950792e+00
2.701352105514473e-05	9.309271e+00	4.952552e+00
2.711352105514473e-05	9.305868e+00	4.954331e+00
2.721352105514473e-05	9.303231e+00	4.956162e+00
2.731352105514472e-05	9.301372e+00	4.958072e+00
2.741352105514472e-05	9.300295e+00	4.960067e+00
2.751352105514472e-05	9.300007e+00	4.962137e+00
2.761352105514472e-05	9.300508e+00	4.964255e+00
2.771352105514472e-05	9.301797e+00	4.966383e+00
2.781352105514472e-05	9.303868e+00	4.968481e+00
2.791352105514472e-05	9.306713e+00	4.970519e+00
2.801352105514472e-05	9.310321e+00	4.972483e+00
2.811352105514472e-05	9.314677e+00	4.974372e+00
2.821352105514472e-05	9.319764e+00	4.976201e+00
2.831352105514471e-05	9.325563e+00	4.977986e+00
2.841352105514471e-05	9.332051e+00	4.979740e+00
2.851352105514471e-05	9.339201e+00	4.981462e+00
2.861352105514471e-05	9.346986e+00	4.983140e+00
2.871352105514471e-05	9.355374e+00	4.984752e+00
2.881352105514471e-05	9.364334e+00	4.986275e+00
2.891352105514471e-05	9.373829e+00	4.987693e+00
2.901352105514471e-05	9.383821e+00	4.988997e+00
2.911352105514471e-05	9.394273e+00	4.990191e+00
2.921352105514471e-05	9.405142e+00	4.991281e+00
2.931352105514471e-05	9.416385e+00	4.992272e+00
2.941352105514470e-05	9.427958e+00	4.993162e+00
2.951352105514470e-05	9.439815e+00	4.993944e+00
2.961352105514470e-05	9.451909e+00	4.994606e+00
2.971352105514470e-05	9.464194e+00	4.995136e+00
2.981352105514470e-05	9.476620e+00	4.995530e+00
2.991352105514470e-05	9.489138e+00	4.995788e+00
3.001352105514470e-05	9.501699e+00	4.995914e+00
3.011352105514470e-05	9.514254e+00	4.995911e+00
3.021352105514470e-05	9.526752e+00	4.995783e+00
3.031352105514470e-05	9.539144e+00	4.995527e+00
3.041352105514469e-05	9.551382e+00	4.995140e+00
3.051352105514469e-05	9.563417e+00	4.994618e+00
3.061352105514470e-05	9.575202e+00	4.993963e+00
3.071352105514470e-05	9.586690e+00	4.993177e+00
3.081352105514470e-05	9.597836e+00	4.992268e+00
3.091352105514470e-05	9.608596e+00	4.991239e+00
3.101352105514471e-05	9.618927e+00	4.990095e+00
3.111352105514471e-05	9.628789e+00	4.988840e+00
3.121352105514471e-05	9.638143e+00	4.987476e+00
3.131352105514471e-05	9.646952e+00	4.986006e+00
3.141352105514472e-05	9.655180e+00	4.984435e+00
3.151352105514472e-05	9.662796e+00	4.982769e+00
3.161352105514472e-05	9.669770e+00	4.981017e+00
3.171352105514472e-05	9.676074e+00	4.979184e+00
3.181352105514473e-05	9.681683e+00	4.977279e+00
3.191352105514473e-05	9.686574e+00	4.975307e+00
3.201352105514473e-05	9.690729e+00	4.973273e+00
3.211352105514473e-05	9.694132e+00	4.971186e+00
3.221352105514473e-05	9.696769e+00	4.969052e+00
3.231352105514474e-05	9.698628e+00	4.966880e+00
3.241352105514474e-05	9.699705e+00	4.964676e+00
3.251352105514474e-05	9.699993e+00	4.962451e+00
3.261352105514474e-05	9.699492e+00	4.960211e+00
3.271352105514475e-05	9.698203e+00	4.957965e+00
3.281352105514475e-05	9.696132e+00	4.955720e+00
3.291352105514475e-05	9.693287e+00	4.953485e+00
3.301352105514475e-05	9.689679e+00	4.951269e+00
3.311352105514476e-05	9.685323e+00	4.949079e+00
3.321352105514476e-05	9.680236e+00	4.946923e+00
3.331352105514476e-05	9.674437e+00	4.944811e+00
3.341352105514476e-05	9.667949e+00	4.942752e+00
3.351352105514477e-05	9.660799e+00	4.940753e+00
3.361352105514477e-05	9.653014e+00	4.938823e+00
3.371352105514477e-05	9.644626e+00	4.936971e+00
3.381352105514477e-05	9.635666e+00	4.935206e+00
3.391352105514478e-05	9.626171e+00	4.933535e+00
3.401352105514478e-05	9.616179e+00	4.931968e+00
3.411352105514478e-05	9.605727e+00	4.930513e+00
3.421352105514478e-05	9.594858e+00	4.929178e+00
3.431352105514479e-05	9.583615e+00	4.927973e+00
3.441352105514479e-05	9.572042e+00	4.926905e+00
3.451352105514479e-05	9.560185e+00	4.925982e+00
